"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","Finish purchase and verify success message","firefox","Tue Nov 18 10:32:52 BDT 2025","passed","Tue Nov 18 10:32:52 BDT 2025","Suacedemo site standard_user test suite","standard.spec.js","",""
"","36","Validate cart items and total price","firefox","Tue Nov 18 10:32:38 BDT 2025","passed","Tue Nov 18 10:32:38 BDT 2025","Suacedemo site performance_glitch_user test suite","performance.spec.js","",""
"","2381","Go to checkout and fill user info","firefox","Tue Nov 18 10:32:36 BDT 2025","passed","Tue Nov 18 10:32:38 BDT 2025","Suacedemo site performance_glitch_user test suite","performance.spec.js","",""
"","1140","Reset App State and logout","firefox","Tue Nov 18 10:32:38 BDT 2025","passed","Tue Nov 18 10:32:40 BDT 2025","Suacedemo site performance_glitch_user test suite","performance.spec.js","",""
"","4261","Login with standard_user","firefox","Tue Nov 18 10:32:40 BDT 2025","passed","Tue Nov 18 10:32:44 BDT 2025","Suacedemo site standard_user test suite","standard.spec.js","",""
"","4265","Try login with locked_out_user and verify the error message","firefox","Tue Nov 18 10:32:15 BDT 2025","passed","Tue Nov 18 10:32:19 BDT 2025","Suacedemo site locked_user test suite","locked.spec.js","",""
"","4314","Reset App State and add first 3 items","firefox","Tue Nov 18 10:32:45 BDT 2025","passed","Tue Nov 18 10:32:49 BDT 2025","Suacedemo site standard_user test suite","standard.spec.js","",""
"","6220","Reset App State and sort products Z to A and add item","firefox","Tue Nov 18 10:32:30 BDT 2025","passed","Tue Nov 18 10:32:36 BDT 2025","Suacedemo site performance_glitch_user test suite","performance.spec.js","",""
"","1158","Reset App State and logout","firefox","Tue Nov 18 10:32:52 BDT 2025","passed","Tue Nov 18 10:32:53 BDT 2025","Suacedemo site standard_user test suite","standard.spec.js","",""
"","77","Finish purchase and verify success message","firefox","Tue Nov 18 10:32:38 BDT 2025","passed","Tue Nov 18 10:32:38 BDT 2025","Suacedemo site performance_glitch_user test suite","performance.spec.js","",""
"","7322","Login with performance_glitch_user","firefox","Tue Nov 18 10:32:22 BDT 2025","passed","Tue Nov 18 10:32:29 BDT 2025","Suacedemo site performance_glitch_user test suite","performance.spec.js","",""
"","33","Validate cart items and total price","firefox","Tue Nov 18 10:32:52 BDT 2025","passed","Tue Nov 18 10:32:52 BDT 2025","Suacedemo site standard_user test suite","standard.spec.js","",""
"","2423","Go to checkout and fill user info","firefox","Tue Nov 18 10:32:49 BDT 2025","passed","Tue Nov 18 10:32:52 BDT 2025","Suacedemo site standard_user test suite","standard.spec.js","",""
